label,count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
a,7611,146779042,1153809,26.217259000,1.154081400,0.031000,0.000000,1.025000,-0.200000,-2.800000,-0.400000
a,7612,146798331,1173098,26.237073500,1.173895900,0.030000,0.000000,1.025000,0.600000,-2.900000,0.000000
a,7613,146817528,1192295,26.255528400,1.192350800,0.032000,-0.002000,1.031000,-2.600000,-3.600000,-1.200000
a,7614,146836847,1211614,26.275306500,1.212128900,0.035000,-0.001000,1.029000,-4.300000,-5.200000,-0.800000
a,7615,146856013,1230780,26.297274900,1.234097300,0.028000,-0.005000,1.026000,-4.400000,-5.300000,-1.000000
a,7616,146875180,1249947,26.313416800,1.250239200,0.029000,-0.005000,1.027000,-5.400000,-5.500000,-0.700000
a,7617,146894499,1269266,26.332220200,1.269042600,0.032000,-0.009000,1.031000,-4.500000,-5.800000,-0.100000
a,7618,146913757,1288524,26.352503700,1.289326100,0.034000,-0.007000,1.029000,-6.800000,-7.200000,0.000000
a,7619,146932954,1307721,26.371323900,1.308146300,0.047000,-0.008000,1.028000,-9.400000,-8.300000,0.400000
a,7620,146952182,1326949,26.393861900,1.330684300,0.058000,-0.016000,1.026000,-11.500000,-10.100000,-0.400000
a,7621,146971440,1346207,26.409182600,1.346005000,0.053000,-0.025000,1.026000,-13.200000,-10.600000,-1.200000
a,7622,146990576,1365343,26.428278000,1.365100400,0.051000,-0.029000,1.027000,-15.200000,-12.600000,-1.500000
a,7623,147009865,1384632,26.449320800,1.386143200,0.063000,-0.031000,1.031000,-17.500000,-12.700000,-0.900000
a,7624,147029092,1403859,26.467184500,1.404006900,0.060000,-0.040000,1.029000,-21.400000,-15.600000,0.800000
a,7625,147048350,1423117,26.486160500,1.422982900,0.068000,-0.050000,1.028000,-31.500000,-20.400000,-0.600000
a,7626,147067548,1442315,26.505223200,1.442045600,0.053000,-0.062000,1.025000,-43.100000,-26.200000,0.000000
a,7627,147086867,1461634,26.525309400,1.462131800,0.048000,-0.061000,1.034000,-60.300000,-34.500000,-9.500000
a,7628,147106033,1480800,26.547936400,1.484758800,0.047000,-0.080000,1.026000,-68.800000,-41.400000,-14.900000
a,7629,147125200,1499967,26.563397100,1.500219500,0.045000,-0.111000,1.020000,-62.300000,-50.800000,-15.800000
a,7630,147144519,1519286,26.582311500,1.519133900,0.043000,-0.126000,1.016000,-82.000000,-69.800000,-26.300000
a,7631,147163808,1538575,26.602050200,1.538872600,0.130000,-0.150000,1.010000,-98.000000,-96.800000,-38.400000
a,7632,147182944,1557711,26.621091100,1.557913500,0.199000,-0.191000,0.990000,-106.400000,-114.300000,-45.900000
a,7633,147202141,1576908,26.641861700,1.578684100,0.253000,-0.208000,0.971000,-116.200000,-130.900000,-58.200000
a,7634,147221429,1596196,26.659228700,1.596051100,0.255000,-0.284000,0.936000,-135.300000,-151.300000,-68.700000
a,7635,147240596,1615363,26.678210800,1.615033200,0.264000,-0.291000,0.929000,-132.700000,-156.600000,-70.800000
a,7636,147259885,1634652,26.699260000,1.636082400,0.375000,-0.356000,0.867000,-137.400000,-160.700000,-79.200000
a,7637,147279051,1653818,26.717374100,1.654196500,0.524000,-0.456000,0.755000,-124.500000,-166.200000,-66.900000
a,7638,147298279,1673046,26.737013500,1.673835900,0.649000,-0.511000,0.537000,-116.900000,-195.400000,-38.600000
a,7639,147317567,1692334,26.755159400,1.691981800,0.712000,-0.548000,0.357000,-124.300000,-238.600000,-12.100000
a,7640,147336703,1711470,26.775321600,1.712144000,0.771000,-0.489000,0.390000,-146.500000,-280.800000,20.100000
a,7641,147355901,1730668,26.799772400,1.736594800,0.880000,-0.352000,0.245000,-125.900000,-281.700000,-49.300000
a,7642,147375220,1749987,26.813330500,1.750152900,0.905000,-0.246000,-0.516000,-102.800000,-286.600000,-86.000000
a,7643,147394508,1769275,26.832198400,1.769020800,1.312000,-0.416000,-0.092000,-86.300000,-285.300000,-108.000000
a,7644,147413675,1788442,26.852776400,1.789598800,1.371000,-0.744000,0.368000,-91.500000,-286.600000,-65.700000
a,7645,147433360,1808127,26.871113400,1.807935800,1.191000,-0.770000,0.595000,-76.500000,-286.600000,-5.600000
a,7646,147452130,1826897,26.890513600,1.827336000,1.000000,-0.658000,0.693000,-62.800000,-274.700000,51.300000
a,7647,147471449,1846216,26.909299800,1.846122200,0.852000,-0.628000,0.550000,-76.900000,-133.700000,89.300000
a,7648,147490616,1865383,26.928306900,1.865129300,0.811000,-0.538000,0.160000,-71.700000,4.700000,121.700000
a,7649,147509904,1884671,26.950620900,1.887443300,0.787000,-0.381000,-0.322000,-75.600000,46.100000,128.300000
a,7650,147529071,1903838,26.967116600,1.903939000,0.760000,-0.258000,-0.545000,-72.500000,14.900000,96.500000
a,7651,147548299,1923066,26.986313600,1.923136000,0.720000,-0.333000,-0.624000,-69.700000,-50.600000,49.700000
a,7652,147567587,1942354,27.005388500,1.942210900,0.713000,-0.516000,-0.488000,-79.400000,-104.800000,28.600000
a,7653,147587059,1961826,27.025341400,1.962163800,0.696000,-0.555000,-0.432000,-85.200000,-119.600000,49.300000
a,7654,147605920,1980687,27.045910100,1.982732500,0.605000,-0.428000,-0.447000,-87.500000,-136.100000,47.000000
a,7655,147625209,1999976,27.063391800,2.000214200,0.585000,-0.325000,-0.419000,-51.400000,-131.100000,22.600000
a,7656,147644528,2019295,27.082310100,2.019132500,0.585000,-0.413000,-0.334000,-59.200000,-118.400000,3.100000
a,7657,147663695,2038462,27.103137500,2.039959900,0.604000,-0.714000,-0.305000,-80.600000,-85.200000,28.600000
a,7658,147682861,2057628,27.121321400,2.058143800,0.502000,-0.552000,-0.383000,-81.300000,-24.300000,76.300000
a,7659,147702150,2076917,27.140964300,2.077786700,0.452000,-0.163000,-0.657000,-82.100000,0.900000,69.700000
a,7660,147721469,2096236,27.159306700,2.096129100,0.473000,-0.096000,-0.863000,-57.100000,-28.200000,10.300000
a,7661,147740605,2115372,27.178143300,2.114965700,0.556000,-0.380000,-0.690000,-52.300000,-68.600000,-34.200000
a,7662,147759802,2134569,27.198741900,2.135564300,0.592000,-0.606000,-0.428000,-32.200000,-30.600000,-21.900000
a,7663,147779091,2153858,27.217441000,2.154263400,0.652000,-0.731000,-0.398000,3.300000,60.900000,5.200000
a,7664,147798257,2173024,27.237912700,2.174735100,0.674000,-0.607000,-0.686000,54.100000,134.800000,44.800000
a,7665,147817485,2192252,27.255417800,2.192240200,0.679000,-0.325000,-0.748000,117.200000,172.600000,46.500000
a,7666,147836713,2211480,27.274270700,2.211093100,0.698000,-0.179000,-0.749000,205.700000,217.100000,-46.600000
a,7667,147855940,2230707,27.294526600,2.231349000,0.634000,-0.610000,-0.711000,161.800000,81.900000,-60.400000
a,7668,147875229,2249996,27.313115200,2.249937600,0.625000,-0.940000,-0.155000,121.200000,80.100000,7.700000
a,7669,147895219,2269986,27.333373200,2.270195600,0.645000,-0.622000,0.199000,121.200000,180.000000,46.900000
a,7670,147913654,2288421,27.351251400,2.288073800,0.796000,-0.356000,0.017000,137.300000,280.000000,29.100000
a,7671,147932881,2307648,27.371271400,2.308093800,0.840000,-0.357000,-0.223000,154.200000,286.600000,-22.400000
a,7672,147952139,2326906,27.391511700,2.328334100,0.797000,-0.525000,-0.344000,149.700000,275.500000,-66.500000
a,7673,147971397,2346164,27.409282000,2.346104400,0.729000,-0.788000,-0.108000,124.200000,192.000000,-66.200000
a,7674,147990625,2365392,27.428336000,2.365158400,0.815000,-0.764000,0.169000,111.000000,157.200000,-37.400000
a,7675,148009792,2384559,27.447188900,2.384011300,0.824000,-0.640000,0.386000,110.900000,186.900000,-6.000000
a,7676,148028989,2403756,27.467185900,2.404008300,0.770000,-0.546000,0.364000,154.700000,235.300000,2.100000
a,7677,148048277,2423044,27.486372600,2.423195000,0.697000,-0.429000,0.181000,188.700000,221.500000,-4.500000
a,7678,148067566,2442333,27.505297400,2.442119800,0.841000,-0.239000,0.217000,119.100000,123.900000,-78.000000
a,7679,148086732,2461499,27.524415200,2.461237600,0.552000,-0.650000,0.680000,90.100000,111.700000,52.100000
a,7680,148105960,2480727,27.547294100,2.484116500,0.712000,-0.537000,0.529000,63.200000,210.700000,41.600000
a,7681,148125249,2500016,27.563325500,2.500147900,0.736000,-0.584000,0.466000,72.200000,154.600000,41.700000
a,7682,148144385,2519152,27.582125600,2.518948000,0.616000,-0.480000,0.689000,60.400000,126.100000,32.500000
a,7683,148163673,2538440,27.602977000,2.539799400,0.697000,-0.269000,0.732000,45.500000,122.300000,-9.500000
a,7684,148182901,2557668,27.621353900,2.558176300,0.682000,-0.385000,0.674000,49.400000,121.000000,-44.800000
a,7685,148202800,2577567,27.645595400,2.582417800,0.540000,-0.567000,0.702000,59.400000,130.800000,-33.800000
a,7686,148221356,2596123,27.659239300,2.596061700,0.474000,-0.310000,0.535000,62.800000,132.300000,6.400000
a,7687,148240523,2615290,27.678368900,2.615191300,0.313000,-0.297000,0.766000,68.700000,118.600000,21.400000
a,7688,148259811,2634578,27.698097400,2.634919800,0.405000,-0.306000,0.869000,78.100000,111.500000,19.700000
a,7689,148279039,2653806,27.717260400,2.654082800,0.446000,-0.263000,0.780000,60.100000,99.200000,2.200000
a,7690,148298267,2673034,27.737302200,2.674124600,0.467000,-0.470000,0.885000,53.300000,84.900000,3.200000
a,7691,148317464,2692231,27.755271800,2.692094200,0.392000,-0.383000,0.866000,57.000000,84.500000,4.000000
a,7692,148336752,2711519,27.774258900,2.711081300,0.294000,-0.344000,0.930000,63.500000,84.100000,25.900000
a,7693,148355980,2730747,27.796295300,2.733117700,0.192000,-0.234000,0.974000,88.800000,103.500000,19.700000
a,7694,148375269,2750036,27.813307000,2.750129400,0.256000,-0.267000,0.922000,78.000000,93.700000,1.500000
a,7695,148394405,2769172,27.832238400,2.769060800,0.329000,-0.346000,0.923000,62.500000,70.100000,-2.200000
a,7696,148413602,2788369,27.853308600,2.790131000,0.277000,-0.247000,0.950000,56.700000,56.200000,-2.400000
a,7697,148432921,2807688,27.871321000,2.808143400,0.143000,-0.227000,0.990000,64.100000,62.200000,12.800000
a,7698,148452209,2826976,27.891230300,2.828052700,0.180000,-0.176000,0.980000,81.000000,55.700000,17.600000
a,7699,148471376,2846143,27.909360700,2.846183100,0.117000,-0.175000,1.029000,39.000000,12.600000,-12.000000
a,7700,148490543,2865310,27.928316500,2.865138900,0.160000,-0.218000,1.006000,56.900000,15.600000,-1.200000
a,7701,148509831,2884598,27.947146300,2.883968700,0.148000,-0.136000,1.009000,53.300000,16.200000,-2.400000
a,7702,148529028,2903795,27.967386900,2.904209300,0.111000,-0.137000,0.996000,55.500000,25.900000,-0.900000
a,7703,148548256,2923023,27.987588900,2.924411300,0.037000,-0.132000,1.008000,55.600000,23.400000,5.900000
a,7704,148567483,2942250,28.005381600,2.942204000,0.048000,-0.043000,1.025000,62.600000,44.700000,6.700000
a,7705,148586772,2961539,28.024189500,2.961011900,0.098000,-0.064000,1.028000,85.700000,65.500000,-2.600000
a,7706,148605939,2980706,28.047087800,2.983910200,0.180000,-0.075000,1.031000,59.200000,32.900000,-12.000000
a,7707,148625166,2999933,28.063295500,3.000117900,0.038000,-0.032000,1.022000,44.300000,27.100000,-11.000000
a,7708,148644394,3019161,28.082298500,3.019120900,0.074000,0.007000,1.027000,33.200000,22.000000,-7.400000
a,7709,148663621,3038388,28.101339700,3.038162100,0.046000,0.001000,1.031000,28.100000,18.100000,-6.100000
a,7710,148682941,3057708,28.120415400,3.057237800,0.008000,0.023000,1.036000,30.900000,18.900000,-6.800000
a,7711,148702077,3076844,28.140918900,3.077741300,0.013000,0.055000,1.030000,33.500000,20.900000,-11.200000
a,7712,148721365,3096132,28.159314500,3.096136900,0.092000,-0.021000,1.034000,1.300000,13.600000,-13.500000
a,7713,148740562,3115329,28.178291500,3.115113900,0.041000,0.010000,1.020000,1.400000,4.500000,-3.200000
a,7714,148759851,3134618,28.197416900,3.134239300,0.023000,0.029000,1.026000,1.000000,0.200000,1.000000
a,7715,148778957,3153724,28.217193200,3.154015600,0.019000,0.024000,1.037000,0.000000,-0.900000,0.900000
a,7716,148798184,3172951,28.236338700,3.173161100,0.017000,0.017000,1.037000,0.100000,-1.700000,2.400000
a,7717,148817473,3192240,28.255332500,3.192154900,0.003000,0.024000,1.026000,0.300000,-4.600000,2.600000
a,7718,148836670,3211437,28.274384800,3.211207200,0.005000,0.036000,1.025000,0.400000,-5.600000,-1.100000
a,7719,148855959,3230726,28.299027000,3.235849400,0.027000,0.013000,1.025000,-2.200000,-3.900000,-0.200000
a,7720,148875186,3249953,28.313135700,3.249958100,0.016000,0.029000,1.030000,-3.000000,-2.800000,-0.900000
a,7721,148894444,3269211,28.332366300,3.269188700,0.042000,0.003000,1.027000,-4.400000,-3.300000,-1.200000
a,7722,148913641,3288408,28.351242300,3.288064700,0.023000,0.008000,1.027000,-3.300000,-3.100000,0.100000
a,7723,148932930,3307697,28.370116100,3.306938500,0.016000,0.013000,1.028000,-3.500000,-2.900000,0.600000
a,7724,148952066,3326833,28.391174400,3.327996800,0.020000,0.018000,1.028000,-2.100000,-2.900000,0.200000
a,7725,148971355,3346122,28.409337100,3.346159500,0.013000,0.017000,1.028000,-2.600000,-3.500000,0.300000
a,7726,148990582,3365349,28.428250800,3.365073200,0.019000,0.017000,1.026000,-0.500000,-1.800000,1.300000
a,7727,149009718,3384485,28.447168900,3.383991300,0.029000,0.004000,1.030000,-3.000000,-4.100000,1.400000
a,7728,149029037,3403804,28.467158700,3.403981100,0.019000,0.008000,1.031000,-4.000000,-4.400000,0.000000
a,7729,149048204,3422971,28.486785400,3.423607800,0.030000,0.013000,1.028000,-4.700000,-3.600000,-1.600000
a,7730,149067493,3442260,28.505134200,3.441956600,0.016000,0.008000,1.026000,-6.000000,-4.000000,-1.400000
a,7731,149086812,3461579,28.524209200,3.461031600,0.019000,0.002000,1.026000,-5.400000,-2.800000,-0.500000
a,7732,149105948,3480715,28.549205900,3.486028300,0.025000,0.001000,1.024000,0.300000,-1.200000,-0.400000
a,7733,149125145,3499912,28.563127700,3.499950100,0.023000,0.000000,1.028000,1.800000,0.000000,-1.000000
a,7734,149144434,3519201,28.582289400,3.519111800,0.018000,0.004000,1.031000,1.300000,-1.300000,-0.500000
a,7735,149163600,3538367,28.601306300,3.538128700,0.021000,0.004000,1.030000,-2.100000,-3.300000,0.000000
a,7736,149182828,3557595,28.620324700,3.557147100,0.021000,-0.002000,1.027000,-0.200000,-2.700000,0.100000
a,7737,149202055,3576822,28.643641800,3.580464200,0.019000,0.000000,1.024000,5.200000,-0.400000,-0.100000
a,7738,149221283,3596050,28.659193200,3.596015600,0.013000,0.011000,1.026000,7.200000,1.000000,-0.500000
