label,count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
f,6838,131914337,884592,11.359437000,0.888747500,0.253000,0.005000,-0.703000,90.700000,-16.800000,33.700000
f,6839,131933565,903820,11.374860000,0.904170500,0.216000,-0.025000,-0.671000,87.700000,-9.700000,17.400000
f,6840,131952853,923108,11.393744400,0.923054900,0.255000,-0.071000,-0.657000,77.500000,7.000000,0.500000
f,6841,131972020,942275,11.412850400,0.942160900,0.306000,-0.116000,-0.680000,53.200000,9.600000,-11.700000
f,6842,131991186,961441,11.431876200,0.961186700,0.307000,-0.196000,-0.669000,25.100000,-3.300000,-22.300000
f,6843,132010475,980730,11.454255000,0.983565500,0.305000,-0.252000,-0.633000,-1.200000,-17.400000,-27.500000
f,6844,132029703,999958,11.470841300,1.000151800,0.303000,-0.271000,-0.560000,-45.900000,-54.800000,-41.200000
f,6845,132048930,1019185,11.489757700,1.019068200,0.390000,-0.297000,-0.360000,-95.300000,-61.600000,-52.300000
f,6846,132068127,1038382,11.509938500,1.039249000,0.425000,-0.348000,-0.313000,-145.300000,-1.700000,17.800000
f,6847,132087416,1057671,11.527758400,1.057068900,0.465000,-0.125000,-0.402000,-172.100000,177.500000,83.000000
f,6848,132106583,1076838,11.551526700,1.080837200,0.570000,0.261000,-0.743000,-185.800000,234.500000,81.100000
f,6849,132125871,1096126,11.566840200,1.096150700,0.638000,0.483000,-1.267000,-155.300000,211.000000,36.600000
f,6850,132145038,1115293,11.585793900,1.115104400,0.622000,0.365000,-1.475000,-98.600000,128.200000,-5.100000
f,6851,132164265,1134520,11.610555500,1.139866000,0.659000,0.172000,-1.529000,-50.800000,-68.100000,-24.200000
f,6852,132183554,1153809,11.623875300,1.153185800,0.896000,0.457000,-1.007000,37.600000,-128.700000,-16.400000
f,6853,132202690,1172945,11.643865900,1.173176400,0.766000,0.163000,-0.816000,76.900000,-52.100000,1.800000
f,6854,132222040,1192295,11.662761400,1.192071900,0.649000,0.108000,-0.956000,95.300000,5.500000,53.500000
f,6855,132241206,1211461,11.681927900,1.211238400,0.453000,0.195000,-1.020000,93.100000,-23.700000,58.400000
f,6856,132260495,1230750,11.703298000,1.232608500,0.332000,0.235000,-0.926000,105.500000,-72.100000,23.800000
f,6857,132279661,1249916,11.720861000,1.250171500,0.414000,0.223000,-0.741000,116.300000,-86.100000,-14.800000
f,6858,132298828,1269083,11.739937300,1.269247800,0.527000,0.114000,-0.697000,120.200000,-52.500000,-36.000000
f,6859,132318147,1288402,11.760225800,1.289536300,0.522000,-0.117000,-0.734000,96.100000,-48.000000,-31.700000
f,6860,132337436,1307691,11.777758400,1.307068900,0.414000,-0.287000,-0.704000,78.900000,-57.800000,2.000000
f,6861,132356602,1326857,11.798375700,1.327686200,0.321000,-0.210000,-0.590000,52.700000,-52.800000,11.500000
f,6862,132375891,1346146,11.816943900,1.346254400,0.316000,-0.111000,-0.503000,35.300000,-17.000000,-9.100000
f,6863,132395088,1365343,11.835832700,1.365143200,0.317000,-0.211000,-0.541000,1.200000,-7.200000,-23.200000
f,6864,132414255,1384510,11.859350200,1.388660700,0.295000,-0.255000,-0.556000,-26.300000,-2.500000,-18.600000
f,6865,132433574,1403829,11.873819100,1.403129600,0.301000,-0.195000,-0.554000,-53.100000,-1.000000,-19.000000
f,6866,132452710,1422965,11.893933500,1.423244000,0.335000,-0.154000,-0.528000,-88.800000,-11.800000,-38.700000
f,6867,132471907,1442162,11.912860400,1.442170900,0.385000,-0.213000,-0.407000,-129.100000,-3.500000,-38.200000
f,6868,132491196,1461451,11.932085700,1.461396200,0.575000,0.000000,-0.452000,-117.800000,135.100000,24.400000
f,6869,132510515,1480770,11.955726600,1.485037100,0.918000,0.322000,-0.973000,-107.900000,273.700000,55.100000
f,6870,132529681,1499936,11.970827500,1.500138000,0.909000,0.292000,-1.540000,-101.700000,253.300000,36.500000
f,6871,132548970,1519225,11.990821100,1.520131600,0.739000,0.196000,-1.804000,-40.300000,122.800000,36.200000
f,6872,132568136,1538391,12.013942100,1.543252600,0.565000,0.237000,-1.718000,41.400000,-58.100000,1.300000
f,6873,132587456,1557711,12.027848700,1.557159200,0.507000,0.312000,-1.243000,100.800000,-252.600000,-49.200000
f,6874,132606592,1576847,12.048975900,1.578286400,0.588000,0.269000,-0.482000,98.900000,-234.400000,-86.300000
f,6875,132625789,1596044,12.066822900,1.596133400,0.568000,-0.108000,-0.267000,67.400000,-139.800000,-80.800000
f,6876,132645077,1615332,12.085879700,1.615190200,0.466000,-0.290000,-0.282000,28.700000,-29.400000,-35.400000
f,6877,132664244,1634499,12.105498100,1.634808600,0.449000,-0.245000,-0.422000,-8.300000,50.600000,20.300000
f,6878,132683472,1653727,12.123921500,1.653232000,0.470000,-0.073000,-0.629000,-32.100000,95.600000,39.900000
f,6879,132702730,1672985,12.143838500,1.673149000,0.523000,0.027000,-0.851000,-42.000000,112.200000,39.800000
